CpG ID,Chromsoome,Position,Strand,Gene Symbol(s),Genomic Strcture(s),Relation to CpG Island,Correlation with LSI,aLIS FDR,Known Stress Gene?,Potentially Functional?
cg10893986,chr1,3229739,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.3201132,0.015715673,TRUE,FALSE
cg09845604,chr1,3229921,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.5626285,0.000933782,TRUE,FALSE
cg15605124,chr1,3230250,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.3468582,0.002025258,TRUE,FALSE
cg16394551,chr1,3230357,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.6068478,0.000117287,TRUE,FALSE
cg15491247,chr1,3230424,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.6232576,5.73E-05,TRUE,FALSE
cg17435683,chr1,3230609,-,PRDM16;PRDM16,Body;Body,OpenSea,-0.6600345,0.000615504,TRUE,FALSE
cg24879939,chr1,3230647,+,PRDM16;PRDM16,Body;Body,OpenSea,-0.6665959,0.007368058,TRUE,FALSE
cg09809932,chr1,6515597,-,ESPN,Body,Island,0.6885999,0.037515213,FALSE,FALSE
cg26419880,chr1,6515624,+,ESPN,Body,Island,0.3793469,0.049327493,FALSE,FALSE
cg13507429,chr1,18807550,-,KLHDC7A,1stExon,N_Shore,-0.6218575,0.038696232,FALSE,FALSE
cg05040210,chr1,18807594,-,KLHDC7A,1stExon,N_Shore,-0.5733288,0.045352038,FALSE,FALSE
cg16585132,chr1,38464943,+,FHL3,Body,S_Shelf,-0.7290035,0.046142598,TRUE,TRUE
cg15089826,chr1,55794598,-,NA,NA,OpenSea,0.6584252,0.023423952,FALSE,FALSE
cg01813393,chr1,62729423,-,KANK4,Body,OpenSea,0.3689955,0.047979906,FALSE,FALSE
cg16174164,chr1,62739108,-,KANK4,Body,OpenSea,-0.537308,0.034951644,FALSE,FALSE
cg08271996,chr1,62739132,-,KANK4,Body,OpenSea,-0.6974552,0.037776959,FALSE,FALSE
cg26690034,chr1,75198963,-,CRYZ;CRYZ;CRYZ;TYW3;TYW3;CRYZ;CRYZ;CRYZ;TYW3;CRYZ;CRYZ,5'UTR;1stExon;1stExon;1stExon;Body;5'UTR;5'UTR;1stExon;1stExon;1stExon;5'UTR,OpenSea,-0.365676,0.042356835,FALSE,FALSE
cg13304609,chr1,79085162,-,IFI44L,TSS1500,OpenSea,-0.6013094,0.044699584,FALSE,FALSE
cg06872964,chr1,79085250,-,IFI44L,TSS1500,OpenSea,-0.6549928,0.00111143,FALSE,FALSE
cg03607951,chr1,79085586,+,IFI44L,TSS1500,OpenSea,-0.6389879,0.002125644,FALSE,FALSE
cg19245011,chr1,92414221,+,BRDT,TSS1500,N_Shore,-0.6215122,0.037257461,FALSE,FALSE
cg01515515,chr1,92414295,-,BRDT,TSS1500,N_Shore,-0.312677,0.022919436,FALSE,FALSE
cg06442199,chr1,92414344,+,BRDT,TSS1500,N_Shore,-0.4834232,0.020262745,FALSE,FALSE
cg03421440,chr1,92414520,-,BRDT,TSS1500,N_Shore,-0.4386689,0.042877576,FALSE,FALSE
cg23206461,chr1,147782116,+,NA,NA,Island,0.4117464,0.019522866,FALSE,FALSE
cg13392957,chr1,147782279,-,NA,NA,Island,0.3463349,0.012315361,FALSE,FALSE
cg13067553,chr1,147782452,+,NA,NA,Island,0.5279344,0.011514375,FALSE,FALSE
cg03242265,chr1,147782472,+,NA,NA,Island,0.380272,0.033017403,FALSE,FALSE
cg00339687,chr1,161348895,-,NA,NA,OpenSea,-0.6360168,0.012942328,FALSE,FALSE
cg02954704,chr1,161349006,-,NA,NA,OpenSea,-0.5879948,0.005760186,FALSE,FALSE
cg25597117,chr1,161349116,-,NA,NA,OpenSea,-0.6744096,0.014007441,FALSE,FALSE
cg23915527,chr1,161368787,+,NA,NA,N_Shore,0.6473623,0.02240926,FALSE,FALSE
cg03441844,chr1,161368947,+,NA,NA,Island,0.6525079,0.011331886,FALSE,FALSE
cg19247228,chr1,161369009,-,NA,NA,Island,0.4531735,0.043789717,FALSE,FALSE
cg09358973,chr1,201618030,+,NAV1,1stExon,Island,0.4958252,0.016277653,FALSE,FALSE
cg14920846,chr1,201618209,-,NAV1,1stExon,Island,0.4126963,0.007435554,FALSE,FALSE
cg19827875,chr1,201618284,+,NAV1,1stExon,Island,0.4009901,0.00246385,FALSE,FALSE
cg07599786,chr1,201618654,+,NAV1,Body,Island,0.5110612,0.001170559,FALSE,FALSE
cg00313914,chr1,201618901,-,NAV1,Body,Island,0.492233,0.000807876,FALSE,FALSE
cg04179952,chr1,201619295,-,NAV1,Body,Island,0.5176184,0.001418327,FALSE,FALSE
cg04287574,chr1,201619622,-,NAV1,Body,Island,0.5272116,0.003079247,FALSE,FALSE
cg08883485,chr1,201619787,+,NAV1,Body,Island,0.6089385,0.011874076,FALSE,FALSE
cg17725472,chr1,203198757,+,CHIT1,1stExon,OpenSea,0.6316701,0.035970527,FALSE,FALSE
cg25705508,chr1,203199023,+,CHIT1,TSS200,OpenSea,0.7325972,0.030839882,FALSE,FALSE
cg25614875,chr1,217263847,+,ESRRG;ESRRG;ESRRG,TSS1500;TSS1500;5'UTR,S_Shore,0.6975922,0.0135106,TRUE,FALSE
cg07908000,chr1,217265862,-,ESRRG,5'UTR,S_Shelf,-0.1972612,0.02628379,TRUE,FALSE
cg19645299,chr1,217304974,+,ESRRG,5'UTR,N_Shelf,-0.07721058,0.031351347,TRUE,FALSE
cg17434154,chr1,217306590,-,ESRRG,5'UTR,N_Shore,-0.6268742,0.004781182,TRUE,FALSE
cg04217177,chr1,217306700,+,ESRRG,5'UTR,N_Shore,-0.7408508,0.00145016,TRUE,FALSE
cg00256046,chr1,217306763,-,ESRRG,5'UTR,N_Shore,-0.64154,0.019646504,TRUE,FALSE
cg03217880,chr1,230468464,+,PGBD5,Body,N_Shore,0.6361886,0.010521419,FALSE,FALSE
cg15363333,chr1,230468611,+,PGBD5,Body,Island,0.4849992,0.008799577,FALSE,FALSE
cg11176853,chr1,230468694,-,PGBD5,Body,Island,0.4019708,0.01160475,FALSE,FALSE
cg20699340,chr1,230468699,-,PGBD5,Body,Island,0.5504082,0.016161827,FALSE,FALSE
cg27291468,chr2,9878816,+,NA,NA,OpenSea,-0.7126107,0.027581005,FALSE,FALSE
cg03959186,chr2,9893528,+,NA,NA,OpenSea,-0.6115615,0.031224143,FALSE,FALSE
cg14802742,chr2,78768994,-,NA,NA,OpenSea,-0.711077,0.017924182,FALSE,FALSE
cg05392577,chr2,78769016,-,NA,NA,OpenSea,-0.6928148,0.024186364,FALSE,FALSE
cg20931223,chr2,101615006,+,NA,NA,N_Shelf,0.760315,0.030710664,FALSE,FALSE
cg09471343,chr2,102884397,-,NA,NA,OpenSea,-0.6795807,0.045616013,FALSE,FALSE
cg14318477,chr2,118593724,+,NA,NA,Island,0.5804957,0.009120857,FALSE,FALSE
cg23729417,chr2,118593926,+,NA,NA,Island,0.6439226,0.001991887,FALSE,FALSE
cg08838158,chr2,118594167,+,NA,NA,Island,0.5800746,0.005373606,FALSE,FALSE
cg05295388,chr2,118594304,-,NA,NA,S_Shore,0.5269563,0.0477168,FALSE,FALSE
cg03738707,chr2,128453335,+,NA,NA,Island,0.5514506,0.028615394,FALSE,FALSE
cg11059159,chr2,128453445,+,NA,NA,Island,0.5310899,0.027063352,FALSE,FALSE
cg17339905,chr2,135808617,-,RAB3GAP1,TSS1500,OpenSea,0.7963731,0.048916291,TRUE,FALSE
cg17024919,chr3,21792248,+,ZNF385D,Body,OpenSea,0.7059744,0.041441028,FALSE,FALSE
cg18267381,chr3,21792434,+,ZNF385D;ZNF385D,1stExon;5'UTR,OpenSea,-0.1435454,0.041048599,FALSE,FALSE
cg18503679,chr3,21792543,-,ZNF385D;ZNF385D,1stExon;5'UTR,OpenSea,0.7354631,0.002826127,FALSE,FALSE
cg00485194,chr3,21792684,+,ZNF385D;ZNF385D,1stExon;5'UTR,OpenSea,0.7494154,7.44E-05,FALSE,FALSE
cg26077378,chr3,21792857,+,ZNF385D,TSS200,OpenSea,0.7314578,0.000192093,FALSE,FALSE
cg14550518,chr3,21792938,-,ZNF385D,TSS200,OpenSea,0.5360915,0.004170871,FALSE,FALSE
cg21436456,chr3,21792965,-,ZNF385D,TSS200,OpenSea,0.272994,0.017331818,FALSE,FALSE
