Gene Symbol,Differential Expression,Whole-Gene ID,Chromosome,Genomic Coordinates,Whole Gene P-value,Whole Gene Correlation with LSI,Isoform ID,Isoform P-value,Isoform Correlation with LSI,Known Stress Gene?
PGD,Isoform-Only,ENST00000498356.1,chr1,10475349-10479887,NA,NA,ENST00000498356.1,0.024989903,-0.4520699,TRUE
SORT1,Isoform-Only,ENST00000485149.1,chr1,109856423-109859549,NA,NA,ENST00000485149.1,0.016666469,-0.5360808,TRUE
PSMA5,Isoform-Only,ENST00000484563.1,chr1,109954575-109969049,NA,NA,ENST00000484563.1,0.042011159,-0.4815462,FALSE
ATP5F1,Isoform-Only,ENST00000464154.1,chr1,111992304-111999370,NA,NA,ENST00000464154.1,0.016635892,-0.590616,FALSE
FAM212B,Whole-Gene-Only,ENSG00000197852.8,chr1,112223252-112298446,0.032268891,0.5045914,NA,NA,NA,FALSE
PTPN22,Isoform-Only,ENST00000528414.1,chr1,114356437-114414320,NA,NA,ENST00000528414.1,0.026799535,-0.4986103,FALSE
TSPAN2,Whole-Gene-Only,ENSG00000134198.5,chr1,115590632-115632121,0.047161422,0.4464703,NA,NA,NA,FALSE
FAM46C,Isoform-Only,ENST00000369448.3,chr1,118148556-118170994,NA,NA,ENST00000369448.3,0.03563427,-0.5090059,FALSE
NOTCH2,Whole-Gene-Only,ENSG00000134250.13,chr1,120454176-120612240,0.045309056,0.5182473,NA,NA,NA,TRUE
TNFRSF8,Isoform-Only,ENST00000479933.2,chr1,12185991-12204264,NA,NA,ENST00000479933.2,0.002828216,-0.6571771,FALSE
LINC00623,Both,ENSG00000235398.4,chr1,144275918-144341756,0.008657903,0.582496,ENST00000439332.1,0.014386367,0.5565976,FALSE
CHD1L,Isoform-Only,ENST00000369259.3,chr1,146714291-146767441,NA,NA,ENST00000369259.3,0.000421511,-0.691221,FALSE
KAZN,Both,ENSG00000189337.11,chr1,14925200-15444539,0.007584413,-0.6251259,ENST00000400798.2,0.008941882,-0.6567083,FALSE
KAZN,Both,ENSG00000189337.11,chr1,14925200-15444539,0.007584413,-0.6251259,ENST00000491547.1,0.04647244,-0.4705624,FALSE
C1orf51,Isoform-Only,ENST00000369094.1,chr1,150254953-150259505,NA,NA,ENST00000369094.1,0.035822146,-0.4575249,FALSE
RFX5,Isoform-Only,ENST00000290524.4,chr1,151313116-151319727,NA,NA,ENST00000290524.4,0.043454095,-0.4339841,FALSE
CGN,Both,ENSG00000143375.10,chr1,151482986-151511168,0.010575213,-0.5817696,ENST00000473377.1,0.021817918,-0.5455453,FALSE
TUFT1,Whole-Gene-Only,ENSG00000143367.11,chr1,151512781-151556059,0.028123322,-0.5185132,NA,NA,NA,FALSE
RORC,Both,ENSG00000143365.12,chr1,151778547-151804348,0.002343275,-0.6399393,ENST00000356728.6,0.041814288,-0.4724519,FALSE
S100A10,Whole-Gene-Only,ENSG00000197747.4,chr1,151955391-151966866,0.04245436,-0.4750648,NA,NA,NA,FALSE
RPTN,Both,ENSG00000215853.3,chr1,152126071-152131704,0.016102346,-0.4501343,ENST00000316073.3,0.012911076,-0.4969568,FALSE
SPRR2D,Both,ENSG00000163216.6,chr1,153012201-153014407,0.032831123,-0.5134517,ENST00000360379.3,0.042922053,-0.5373402,FALSE
SPRR2A,Both,ENSG00000241794.1,chr1,153028589-153030013,0.019216799,-0.5651954,ENST00000392653.2,0.035453435,-0.5707001,FALSE
S100A7,Both,ENSG00000143556.4,chr1,153430220-153433177,0.005378609,-0.6006352,ENST00000368723.3,0.008315205,-0.609032,FALSE
CHTOP,Isoform-Only,ENST00000368694.3,chr1,153606525-153618782,NA,NA,ENST00000368694.3,0.001066035,-0.6659319,FALSE
CHTOP,Isoform-Only,ENST00000403433.1,chr1,153606556-153618778,NA,NA,ENST00000403433.1,0.04332025,0.4605149,FALSE
SLC27A3,Whole-Gene-Only,ENSG00000143554.9,chr1,153746830-153752633,0.041329705,0.5081113,NA,NA,NA,FALSE
TPM3,Isoform-Only,ENST00000330188.9,chr1,154128840-154155681,NA,NA,ENST00000330188.9,0.026816465,-0.4983636,TRUE
KRTCAP2,Isoform-Only,ENST00000461136.1,chr1,155141946-155145733,NA,NA,ENST00000461136.1,0.030802242,-0.4965678,FALSE
MUC1,Both,ENSG00000185499.12,chr1,155158300-155162707,0.02588569,-0.505727,ENST00000468978.1,0.039285825,-0.4948986,FALSE
MUC1,Both,ENSG00000185499.12,chr1,155158300-155162707,0.02588569,-0.505727,ENST00000485118.1,0.038988428,-0.453881,FALSE
THBS3,Isoform-Only,ENST00000469769.1,chr1,155165636-155167413,NA,NA,ENST00000469769.1,0.029275627,0.5246166,FALSE
MTX1,Isoform-Only,ENST00000316721.4,chr1,155178588-155183614,NA,NA,ENST00000316721.4,0.036983585,0.4861853,FALSE
MTX1,Isoform-Only,ENST00000495492.1,chr1,155182246-155183530,NA,NA,ENST00000495492.1,0.038802484,0.5240954,FALSE
RUSC1,Isoform-Only,ENST00000368349.4,chr1,155294304-155300903,NA,NA,ENST00000368349.4,0.049930981,-0.4525652,FALSE
