Probe ID,Gene,Region,Average beta Controls,Average,Δ-beta,P-Value,BH-adjusted
cg18752527,HECW2,intragenic,0.342,0.276,0.066,4.30E-07,0.0213
cg08109624,None,intergenic,0.76,0.817,-0.057,8.15E-07,0.0234
cg10168086,None,intergenic,0.535,0.484,0.051,1.24E-06,0.0256
cg07280807,None,intergenic,0.755,0.822,-0.068,2.44E-06,0.0366
cg12173150,None,intergenic,0.321,0.385,-0.064,3.02E-06,0.037
cg01059398,TNFSF10,intragenic,0.261,0.209,0.052,1.07E-05,0.0627
cg17940902,HLA-DMA,promoter,0.399,0.45,-0.051,1.19E-05,0.064
cg22778903,MX2,intragenic,0.304,0.355,-0.051,1.34E-05,0.0666
cg14612335,SKIL,promoter,0.423,0.368,0.055,1.38E-05,0.0666
cg11580026,None,intergenic,0.6,0.549,0.051,1.51E-05,0.0691
cg12284098,MYOM2,intragenic,0.534,0.477,0.056,1.54E-05,0.0691
cg26091609,CTLA4,intragenic,0.578,0.518,0.06,1.59E-05,0.0691
cg09768654,SRPK3,promoter,0.374,0.466,-0.092,1.65E-05,0.0691
cg06851207,PNMAL1,promoter,0.528,0.617,-0.089,1.84E-05,0.0691
cg14702960,None,intergenic,0.742,0.689,0.052,1.92E-05,0.0691
cg00449728,MAPRE2,intragenic,0.75,0.693,0.057,2.98E-05,0.0702
cg22851561,ELMSAN1,intragenic,0.432,0.38,0.052,3.00E-05,0.0702
cg02536838,ANGPT1,promoter,0.605,0.53,0.075,3.14E-05,0.0702
cg15841511,None,intergenic,0.729,0.788,-0.059,3.42E-05,0.0706
cg24392939,CRYBG3,intragenic,0.562,0.51,0.052,3.62E-05,0.0725
cg12761472,CEP85L,promoter,0.621,0.566,0.055,4.13E-05,0.0754
cg02652579,SYNGAP1,promoter,0.623,0.563,0.059,4.17E-05,0.0758
cg22865905,SNORA69,three_plus,0.794,0.743,0.051,4.26E-05,0.0764
cg27201673,PNMAL1,promoter,0.213,0.263,-0.05,5.41E-05,0.0778
cg04936619,C17orf75,intragenic,0.314,0.245,0.069,5.88E-05,0.0778
cg11121969,PCBP3,promoter,0.691,0.627,0.064,6.26E-05,0.0778
cg00246693,ARHGAP42,Promoter ,0.34,0.393,-0.053,7.10E-05,0.0778
,,,,,,,
Probe ID,Gene,Region,Average beta Controls,Average,Δ-beta,P-Value,BH-adjusted
,,,,beta,,,P-Value
,,,,Patients (T1),,,
cg10399005,None,intergenic,0.776,0.833,-0.057,7.11E-05,0.0778
cg16529483,SRPK3,promoter,0.252,0.357,-0.105,7.18E-05,0.078
cg01220513,SH3KBP1,intragenic,0.506,0.454,0.051,8.08E-05,0.0791
cg26926002,None,intergenic,0.719,0.777,-0.058,8.10E-05,0.0791
cg14544087,MIR155HG,intragenic,0.29,0.227,0.063,8.64E-05,0.0791
cg20893919,TRPC3,intragenic,0.703,0.754,-0.051,9.23E-05,0.0801
cg18682028,FYCO1,intragenic,0.394,0.338,0.056,9.24E-05,0.0801
cg04362790,None,intergenic,0.697,0.644,0.052,9.32E-05,0.0801
cg09060654,LIPA,intragenic,0.578,0.656,-0.079,9.51E-05,0.0801
cg02451774,NBPF8,intragenic,0.431,0.483,-0.053,9.98E-05,0.0806
cg18723276,USP29,promoter,0.723,0.774,-0.051,0.0001,0.0819
cg13180722,None,intergenic,0.338,0.401,-0.062,0.0001,0.083
cg12230162,SRPK3,promoter,0.357,0.463,-0.105,0.0001,0.0835
cg18890544,None,intergenic,0.846,0.905,-0.059,0.0001,0.0839
cg24496423,SRPK3,promoter,0.309,0.393,-0.084,0.0001,0.0854
cg02661764,None,intergenic,0.419,0.36,0.059,0.0001,0.0867
cg01400671,None,intergenic,0.409,0.345,0.064,0.0001,0.0874
cg13609457,None,intergenic,0.577,0.521,0.056,0.0002,0.0897
cg25880958,None,intergenic,0.591,0.645,-0.054,0.0002,0.0898
cg18376497,INPP4B,intragenic,0.286,0.223,0.064,0.0002,0.0919
cg13784312,RAPGEF1,intragenic,0.187,0.136,0.051,0.0002,0.0928
cg07135405,MIR1914,three_plus,0.54,0.394,0.146,0.0002,0.0928
cg20475486,None,intergenic,0.702,0.759,-0.058,0.0002,0.0936
cg11858450,CCDC105,intragenic,0.709,0.762,-0.053,0.0002,0.094
cg05927817,None,intergenic,0.726,0.787,-0.061,0.0002,0.094
cg00306893,None,intergenic,0.737,0.675,0.062,0.0002,0.094
cg10365886,TNXB,intragenic,0.566,0.672,-0.105,0.0002,0.0947
cg27503950,None,intergenic,0.633,0.696,-0.063,0.0002,0.0952
,,,Average beta Controls,Average,,,BH-adjusted
Probe ID,Gene,Region,,beta,Δ-beta,P-Value,P-Value
,,,,Patients (T1),,,
cg01089001,GALNT18,intragenic,0.317,0.382,-0.065,0.0002,0.0953
cg12564698,GAL,three_plus,0.312,0.261,0.051,0.0002,0.0953
cg16197188,NRG3,intragenic,0.723,0.672,0.051,0.0003,0.0995
cg04088338,None,intergenic,0.43,0.378,0.052,0.0003,0.0999
