ID,Difference in M values (SZ - control),P.Value,adj.P.Val,CHR,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Group
cg00001099,-0.344053704,0.000980281,0.027440085,8,NA,PSKH2,Body,chr8:87081653-87082046,N_Shore,NA,
cg00001245,0.241962569,0.00305467,0.045742473,3,NA,MRPS25;MRPS25,1stExon;5'UTR,chr3:15106459-15106971,Island,NA,Promoter_Associated
cg00002033,-0.297012422,0.000271268,0.01660038,19,NA,LRFN1,Body,chr19:39797786-39799250,Island,TRUE,
cg00004089,0.367863631,0.002173929,0.039137244,17,NA,MXRA7;MXRA7;MXRA7,Body;3'UTR;Body,,,TRUE,
cg00004429,-0.298209598,0.002073512,0.038265945,9,NA,EHMT1,Body,chr9:140683120-140683774,N_Shore,NA,
cg00004608,0.206178177,0.002674717,0.042969003,6,NA,,,chr6:134273310-134274844,N_Shore,NA,
cg00005112,0.335672031,0.000363333,0.018445228,16,NA,WWP2;WWP2,TSS200;Body,,,TRUE,
cg00005619,0.315351821,0.001193941,0.029905593,11,NA,FAM180B,Body,chr11:47611138-47612438,N_Shelf,NA,
cg00006081,-0.358605914,0.001772269,0.035621041,10,NA,HMX2,Body,chr10:124907283-124911035,Island,TRUE,
cg00008564,-0.490098932,0.0031938,0.046658332,6,NA,,,chr6:27833120-27833406,N_Shelf,NA,
cg00008671,0.303074205,4.22E-05,0.008888235,10,NA,FAM190B,TSS1500,chr10:86088395-86088791,N_Shore,NA,Promoter_Associated
cg00008971,-0.442834229,0.002823293,0.044081225,1,NA,MMACHC;CCDC163P,Body;TSS1500,chr1:45965586-45966049,S_Shore,NA,
cg00010954,-0.269760015,0.001012032,0.027798263,16,NA,,,,,TRUE,
cg00011717,0.189077281,0.001277919,0.030866514,1,NA,,,,,NA,
cg00012529,0.456590523,0.001191653,0.029890639,12,NA,GALNT9,Body,chr12:132896299-132896569,S_Shore,NA,
cg00013733,0.249729468,0.00164793,0.034468544,19,NA,DAZAP1;DAZAP1,Body;Body,chr19:1423752-1424006,N_Shore,NA,Gene_Associated_Cell_type_specific
cg00015343,-0.189911247,0.002898774,0.044613737,11,NA,TSPAN18,5'UTR,,,NA,
cg00017221,-0.317500636,0.001462481,0.032539196,1,NA,,,chr1:149719314-149719640,Island,NA,
cg00018010,-0.402398823,0.003642177,0.049712365,17,NA,CYTSB;CYTSB;CYTSB;CYTSB,Body;Body;Body;Body,,,TRUE,
cg00018184,-0.213975909,0.002263894,0.039828444,1,NA,S100A3,3'UTR,,,NA,
cg00018896,-0.33723595,0.001222177,0.030213436,13,NA,PABPC3,1stExon,chr13:25670041-25670531,S_Shore,NA,
cg00020340,0.255544326,0.003158492,0.046449502,7,NA,UNC84A;UNC84A,Body;Body,,,NA,
cg00021108,-0.160390113,0.000699609,0.023813132,14,NA,RIN3,TSS200,chr14:92979726-92981228,Island,NA,Promoter_Associated
cg00021256,-0.480249757,0.000505086,0.020950286,2,NA,FEV,Body,chr2:219848919-219850541,N_Shore,TRUE,Unclassified_Cell_type_specific
cg00021600,0.602649748,0.001424105,0.032213549,16,NA,NECAB2,Body,chr16:84001805-84002011,S_Shore,TRUE,
cg00022235,0.279628198,0.003590076,0.049377265,16,NA,SNN,5'UTR,chr16:11762563-11763246,S_Shore,NA,Unclassified
cg00023464,0.257527559,0.001748772,0.035426349,13,NA,CARKD,TSS1500,chr13:111267780-111268778,N_Shore,NA,Promoter_Associated
cg00023919,-0.279206882,0.000618414,0.022685766,11,NA,RHOD,3'UTR,chr11:66838918-66839192,Island,NA,Unclassified
cg00024989,-0.297736138,0.003008554,0.04542519,19,NA,,,chr19:17905579-17906317,N_Shelf,NA,
cg00026230,-0.113964412,0.001721523,0.035166909,16,NA,ALDOA,5'UTR,chr16:30064200-30064678,Island,NA,Unclassified
